RegionName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022
"Denver, CO",,,,,,,,,494667,487667,481000,477833,482333,493967,509133,519967,524967,523630,518630,510297,502967,497967,497967,501300,512376,529043,542709,545967,542667,543148,548815,552148,546587.0,534753.0,524337.0,522067.0,527233.0,537650.0,550000.0,566667.0,583333.0,598333.0,606650.0,609983.0,611317.0,613967.0,617633.0,623600.0,629290.0
"Colorado Springs, CO",475269.0,473471.0,468976.0,465275.0,463441.0,450820.0,434999.0,418460.0,409506,405911,404508,404508,411134,420087,434470,442226,451215,456609,467360,469158,469122,463729,465526,464124,462362,459305,465382,474011,482498,485051,489006,489006,484511.0,473976.0,466785.0,464052.0,,,,,,,,,,,,,
"Fort Collins, CO",443182.0,446150.0,448238.0,449747.0,453113.0,457132.0,455685.0,452552.0,445200,441867,438590,436924,435257,436333,439075,441558,445192,447417,446567,441567,436600,434967,435667,435667,439587,445921,457171,463217,466883,469950,474650,477317,473000.0,466667.0,463000.0,463000.0,,,,,,,,,,,,,
