GEO_ID,"Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Less than $5,000","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$5,000 to $9,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $14,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$15,000 to $19,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $24,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999","Estimate!!Occupied housing units!!Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more"
1400000US08031004002,9,6,0,35,36,58,129,148,145,225,550
1400000US08031004003,50,20,39,142,45,111,175,356,312,455,365
1400000US08031004004,18,10,24,30,21,73,78,142,110,147,238
1400000US08031004005,121,51,73,31,0,122,249,398,251,131,244
1400000US08031004006,53,149,98,27,76,249,157,128,95,223,763
1400000US08031004101,175,98,125,102,91,273,244,404,315,134,112
1400000US08031004102,100,23,55,83,51,109,269,338,203,188,153
1400000US08031004103,16,13,34,13,46,116,148,264,214,519,858
1400000US08031004104,29,12,40,22,35,128,137,276,298,327,626
1400000US08031004106,26,65,50,14,0,131,153,241,307,929,1947
1400000US08031004107,50,97,61,147,67,173,379,625,556,1019,1984
1400000US08031004201,41,34,23,35,18,132,103,184,215,390,780
1400000US08031004202,7,11,9,22,52,40,51,219,142,455,639
1400000US08031004301,230,45,198,115,169,401,374,445,289,417,307
1400000US08031004302,0,10,41,35,15,108,45,193,140,303,342
1400000US08031004303,30,0,20,0,37,30,66,145,99,158,997
1400000US08031004304,39,0,0,78,45,191,135,563,415,657,700
1400000US08031004306,43,0,41,82,59,104,254,291,164,457,814
1400000US08031004403,0,61,43,68,52,185,310,511,317,275,134
1400000US08031004404,116,126,280,63,72,287,378,433,354,208,169
1400000US08031004405,111,62,86,76,166,345,487,372,472,526,1296
1400000US08031004503,57,65,97,52,149,152,320,232,149,18,81
1400000US08031004504,26,36,76,134,60,105,136,309,192,141,50
1400000US08031004505,67,44,122,75,180,198,116,206,135,175,34
1400000US08031004506,115,85,110,92,22,171,192,120,106,117,9
1400000US08031004601,22,113,32,71,133,159,290,519,299,273,130
1400000US08031004602,124,109,125,123,119,299,286,574,304,233,125
1400000US08031004603,43,91,26,58,139,178,363,532,267,293,132
1400000US08031004700,47,22,84,201,51,130,230,559,428,257,315
1400000US08031004801,24,0,7,62,7,91,160,151,272,254,126
1400000US08031005001,17,20,0,89,14,73,72,276,145,202,159
1400000US08031005002,104,103,175,145,353,187,849,420,278,493,350
1400000US08031005102,0,17,59,67,55,108,118,213,261,379,236
1400000US08031005104,48,96,117,90,115,207,268,331,150,204,60
1400000US08031005200,8,9,36,30,41,50,163,174,153,268,419
1400000US08031005300,13,7,84,40,32,98,130,87,94,83,102
1400000US08031005502,21,7,0,20,23,27,101,74,138,120,60
1400000US08031005503,51,88,34,76,54,145,109,242,327,379,309
1400000US08031006701,86,44,24,35,56,148,236,480,459,636,255
1400000US08031006804,17,9,37,40,8,143,84,331,257,381,372
1400000US08031006809,50,37,120,158,70,212,532,721,302,707,768
1400000US08031006810,57,30,29,115,103,226,500,461,465,384,280
1400000US08031006811,77,126,147,138,82,182,403,589,512,313,541
1400000US08031006812,56,44,96,107,101,119,119,503,289,413,352
1400000US08031006813,70,103,52,27,137,408,421,585,168,388,57
1400000US08031006814,16,88,72,161,104,380,169,323,287,250,246
1400000US08031006901,137,157,58,64,161,303,380,595,214,372,288
1400000US08031007006,39,0,99,146,107,453,456,763,195,136,106
1400000US08031007013,24,14,46,46,48,73,134,670,418,273,255
1400000US08031007037,137,46,74,172,108,194,385,288,180,188,129
1400000US08031007088,14,71,45,166,173,131,367,473,511,422,142
1400000US08031007089,101,130,271,256,285,994,519,586,350,137,106
1400000US08031008304,95,33,0,49,18,79,149,211,159,137,79
1400000US08031008305,16,32,27,65,75,106,87,220,148,194,82
1400000US08031008306,60,0,121,62,44,291,390,326,275,252,100
1400000US08031008312,125,9,102,115,23,236,274,592,373,432,72
1400000US08031008386,0,0,30,34,147,128,150,172,211,361,55
1400000US08031008387,15,23,83,21,45,128,236,291,372,305,232
1400000US08031008388,38,19,36,57,49,439,514,1101,509,741,231
1400000US08031008389,26,115,38,38,0,84,451,659,788,939,541
1400000US08031008390,90,0,127,52,64,182,419,658,617,551,163
1400000US08031008391,27,0,28,0,46,182,359,481,411,614,221
1400000US08031011902,77,40,25,197,17,312,645,379,356,582,190
1400000US08031011903,10,0,24,41,28,113,114,145,82,217,167
1400000US08031012001,6,26,56,32,44,28,124,84,110,189,212
1400000US08031012010,37,15,16,30,66,228,237,706,494,257,486
1400000US08031012014,52,126,74,32,231,194,399,665,551,613,262
1400000US08031015300,31,68,109,27,147,188,468,543,248,163,258
1400000US08031015400,0,125,87,97,19,54,216,295,256,227,273
1400000US08031015500,33,8,69,75,79,338,256,412,377,108,74
1400000US08031015600,81,176,175,66,75,262,252,507,383,297,75
1400000US08031015700,105,168,212,145,73,113,270,485,147,409,178
1400000US08031980000,0,6,24,45,35,58,125,162,114,83,26
1400000US08031980100,0,0,0,0,0,0,0,0,0,0,0
