INDEX,SCHEDNUM,SITUS_CITY,SITUS_STATE,APPRAISED_TOTAL_VALUE,D_CLASS_CN,SALE_YEAR,SALE_PRICE
1384,2.2213E+11,DENVER,CO,264400,SFR Grade D or E,2017,10
1416,9.11202E+11,DENVER,CO,289400,RESIDENTIAL-CONDOMINIUM,2017,265000
1418,5.03627E+11,DENVER,CO,272600,RESIDENTIAL-ROWHOUSE,2017,205000
1425,15220025000,DENVER,CO,473600,SFR Grade C,2017,411353
1436,6.0812E+11,DENVER,CO,326700,RESIDENTIAL-CONDOMINIUM,2017,297000
1470,5.31308E+11,DENVER,CO,400800,SFR Grade C,2017,359600
1474,6.09329E+11,DENVER,CO,795700,SFR Grade B,2017,10
1483,1.16402E+11,DENVER,CO,1004800,SFR Grade B,2017,911000
1490,19111012000,DENVER,CO,337300,SFR Grade C,2017,275500
1508,5.26203E+11,DENVER,CO,1323800,SFR Grade A,2017,1015000
1513,2.32133E+11,DENVER,CO,331500,RESIDENTIAL-CONDOMINIUM,2017,321000
1526,6.20407E+11,DENVER,CO,582600,SFR Grade B,2017,540000
1541,5.19406E+11,DENVER,CO,395800,"SFR Grade C, D, or E, w/RK",2017,352500
1550,5.06211E+11,DENVER,CO,472900,SFR Grade C,2017,412000
1579,5.14123E+11,DENVER,CO,729600,SFR Grade B,2017,0
1612,2.24206E+11,DENVER,CO,301900,SFR Grade C,2017,242500
1641,5.231E+11,DENVER,CO,846200,SFR Grade B,2017,835000
1649,6.33304E+11,DENVER,CO,224300,RESIDENTIAL-CONDOMINIUM,2017,229000
1657,2.29331E+11,DENVER,CO,696500,RESIDENTIAL-ROWHOUSE,2017,589500
1659,18711036000,DENVER,CO,404700,SFR Grade C,2017,315000
1660,5.03804E+11,DENVER,CO,431100,RESIDENTIAL-ROWHOUSE,2017,370000
1668,5.31105E+11,DENVER,CO,358500,SFR Grade C,2017,325000
1679,5.29203E+11,DENVER,CO,419000,SFR Grade C,2017,260000
1683,7.04104E+11,DENVER,CO,463600,SFR Grade B,2017,0
1692,6.07424E+11,DENVER,CO,1410500,SFR Grade B,2017,1311000
1735,1.16119E+11,DENVER,CO,634400,RESIDENTIAL-ROWHOUSE,2017,580000
