GEO_ID,Households!!Estimate!!Total_x,"Households!!Estimate!!Less than $10,000_x","Households!!Estimate!!$10,000 to $14,999_x","Households!!Estimate!!$15,000 to $24,999_x","Households!!Estimate!!$25,000 to $34,999_x","Households!!Estimate!!$35,000 to $49,999_x","Households!!Estimate!!$50,000 to $74,999_x","Households!!Estimate!!$75,000 to $99,999_x","Households!!Estimate!!$100,000 to $149,999_x","Households!!Estimate!!$150,000 to $199,999_x","Households!!Estimate!!$200,000 or more_x",Households!!Estimate!!Median income (dollars)_x,Households!!Estimate!!Mean income (dollars)_x,Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months_x,Households!!Estimate!!Total_y,"Households!!Estimate!!Less than $10,000_y","Households!!Estimate!!$10,000 to $14,999_y","Households!!Estimate!!$15,000 to $24,999_y","Households!!Estimate!!$25,000 to $34,999_y","Households!!Estimate!!$35,000 to $49,999_y","Households!!Estimate!!$50,000 to $74,999_y","Households!!Estimate!!$75,000 to $99,999_y","Households!!Estimate!!$100,000 to $149,999_y","Households!!Estimate!!$150,000 to $199,999_y","Households!!Estimate!!$200,000 or more_y",Households!!Estimate!!Median income (dollars)_y,Households!!Estimate!!Mean income (dollars)_y,Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months_y
1400000US08031000102,1584,5.6,2.3,8.6,8.3,6.3,24.2,11.7,19.3,6,7.7,70638,86462,26.9,1534,4.8,2.9,6.5,11.2,7.6,19.9,14.4,20.1,4,8.5,70244,86999,22.8
1400000US08031000201,1531,7.8,7.3,9.9,6.4,21.6,15.1,14.5,12.5,2.9,2,47969,61640,27.4,1505,6.9,8,9.4,5.6,19.9,16.7,14.7,13.7,2.5,2.5,50750,63717,26.9
1400000US08031000202,1676,17.1,5.6,8.8,8.2,8.1,14.3,16.3,15.1,2.6,3.9,52102,70882,21.3,1603,17.2,5.5,9,6.9,9.5,13,12.8,16.8,6.7,2.7,53578,67391,25.8
1400000US08031000301,2660,7.6,4.5,6.8,10.8,13.2,15.7,7.3,19.2,5.9,9.1,61603,85026,24.9,2605,7.4,5.4,5.8,8.6,14.4,18.3,7.6,20.7,7.6,4.1,57269,79421,22.6
1400000US08031000302,2026,0,4.6,3.7,9,16.7,13.3,12.7,20,11.2,8.8,82885,102986,21.4,1959,0.7,4.7,3.5,9.3,12.7,13.2,16,21.3,11.4,7.1,84846,100154,18.3
1400000US08031000303,2200,5.3,2.1,8.3,8.3,9,7.2,12.5,16.7,8.8,21.7,94010,130694,17.4,2215,3.7,3.5,11.4,11.6,8.4,8.8,14.6,15.6,7.1,15.3,76732,112215,16.5
1400000US08031000401,1423,6.8,3.2,13,9.3,15.2,14.4,16.3,13.4,5.8,2.6,52872,67472,24.8,1478,7.5,4.4,14.8,8.5,11.4,18.4,14.7,12.5,5,2.6,53438,65144,25.6
1400000US08031000402,2935,8.2,6.7,10.3,7.2,10.1,14.2,8,16.6,8.8,9.9,64375,93502,19.7,2877,11.3,8.6,8.8,7.4,9.7,11.7,8.3,17,6.8,10.5,61696,88535,13.6
1400000US08031000501,934,3.7,5.7,3.7,6.1,9.7,15.3,10.6,21.8,10.3,13,89500,104245,27.6,974,5.1,4.1,7.6,7.7,10,12.2,8.2,22,11.2,11.9,84643,101022,29.6
1400000US08031000502,2771,9.9,12.4,10.4,7.5,9.7,11.5,7.5,14.4,6.6,9.9,50121,86297,25.3,2750,7.7,12.9,8.9,9,12.2,11.3,9.1,15.3,4.8,8.9,48542,85027,21.1
