GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
1400000US08031003402,"Census Tract 34.02, Denver County, Colorado",2034,79,5.6,2.9,2.2,2.4,3.7,2.2,2.8,1.6,5.6,2.8,11.6,3.7,12.6,4.2,20.5,4.9,9.5,3.2,26,5.4,108627,7299,159904,27379,24.5,(X),(X),(X),(X),(X),1273,114,1.6,1.9,3.1,3.7,0,2.5,0,2.5,6.1,3.8,8.1,4.3,12.5,4.9,22.2,6.8,11.7,4.7,34.7,7.7,127277,36761,200965,44983,(X),(X),25.8,(X),(X),(X),1075,111,0.7,1.2,0.7,1.1,0,3,0,3,5.5,3.9,6.4,4,13.4,5.4,21.5,6.5,12.1,5.6,39.7,8.5,151875,18069,N,N,(X),(X),(X),(X),(X),(X),761,123,12.2,6.5,0.7,1,9.9,5.8,7.5,4.2,4.6,3.6,17.3,8.3,14.1,7.9,19.1,7.7,3.3,2.7,11.4,7.4,69750,20155,89322,16531,(X),(X),(X),(X),22.3,(X)
1400000US08031003500,"Census Tract 35, Denver County, Colorado",1763,81,8.3,3.7,9.6,4.2,17.4,5.4,15.8,4.6,18.3,5.4,14.5,5,8.5,3.3,6.6,3.6,0.5,0.9,0.5,0.8,33972,6324,43029,4640,52,(X),(X),(X),(X),(X),1361,106,7.2,4,10.2,5.1,17.9,6.1,14.1,5.3,18.4,6.5,14.9,5.6,11.8,4.8,4.7,3.4,0,2.4,0.7,1.1,35586,6909,42923,5303,(X),(X),52.8,(X),(X),(X),784,118,2.9,2.5,5.7,4.3,15.9,7.3,16.2,7.3,17.3,8.2,18.4,8.1,18,8,4.3,3.8,0,4.1,1.1,1.8,41944,7572,N,N,(X),(X),(X),(X),(X),(X),402,93,15.2,10.5,10,7.3,15.9,9.3,18.9,12,14.4,9.1,12.9,9.9,2,3.3,8.5,9.1,2.2,3.7,0,7.8,30739,6820,39924,9697,(X),(X),(X),(X),41.3,(X)
1400000US08031003601,"Census Tract 36.01, Denver County, Colorado",1676,80,12.1,3.7,5,2.7,12.6,5.6,18.3,5.6,13.2,4.9,21.1,6,11.2,3.9,2.4,1.7,2.9,2.1,1.3,1.4,38012,6644,49052,5661,39,(X),(X),(X),(X),(X),1098,112,8.7,4.8,7.2,4.8,10.8,6.5,17.9,6.6,13.8,6.2,20.9,7.9,13.3,5.7,1.8,1.9,3.7,2.9,1.9,2.1,38879,7251,53500,7973,(X),(X),36.9,(X),(X),(X),584,117,3.4,4.1,0,5.4,10.8,8.9,14.2,10.1,24,11.1,16.4,7.6,19,9.8,3.4,3.5,5.1,4.9,3.6,4,48654,16409,N,N,(X),(X),(X),(X),(X),(X),578,104,19.9,9.4,5.4,3.9,16.4,9.3,18.3,11.5,9.2,7.1,20.1,8.2,5.9,3.7,3.6,3.2,1.2,2,0,5.5,28514,4773,37484,5795,(X),(X),(X),(X),36.3,(X)
1400000US08031003602,"Census Tract 36.02, Denver County, Colorado",1488,97,12.8,6.1,4.6,3.1,8.7,4.3,19.7,5.9,10.4,5,16.8,5.4,11.7,5.5,10.6,5.5,2.5,2.3,2.2,1.9,40417,10917,54313,6545,39.4,(X),(X),(X),(X),(X),906,120,14.5,9,3.2,3.2,7.8,5.6,21.9,8.4,11,9,12.1,5.8,15.3,8.1,10.4,7.8,2.5,3.2,1.2,1.9,37069,11964,53200,10103,(X),(X),40.5,(X),(X),(X),480,118,5.4,7.9,1.5,2.2,7.1,7.3,29.2,13.1,19.8,15.6,13.8,8.5,11.3,9.5,9.8,9.3,0,6.5,2.3,3.6,38438,11950,N,N,(X),(X),(X),(X),(X),(X),582,129,10.1,7.5,6.9,5.7,11.9,9.3,19.8,10.3,12.5,8,19.9,10.3,6,6.4,8.6,6.5,2.4,3.4,1.9,2.8,35909,10593,49795,10067,(X),(X),(X),(X),35.9,(X)
1400000US08031003603,"Census Tract 36.03, Denver County, Colorado",1355,91,5.4,3.3,8.1,4.2,12.4,5.4,11.4,5.2,6.1,3.8,12.5,4.6,13.5,5.4,19.5,5.6,6.7,3.5,4.4,4,61375,9104,77703,12375,25.5,(X),(X),(X),(X),(X),582,95,0,5.4,2.7,4.3,10,9.7,8.9,6.2,12,8,9.5,6.3,22.7,7.8,17.9,8.4,12.7,7,3.6,4,81094,12345,91971,15568,(X),(X),26.3,(X),(X),(X),344,94,0,9,0,9,1.7,2.6,11.9,9,2.9,3.6,8.4,7.9,29.1,12.4,26.5,12.4,13.4,7.9,6.1,6.5,97813,18761,N,N,(X),(X),(X),(X),(X),(X),773,132,9.4,5.9,12.2,6.4,14.2,6.9,13.3,7.4,4.7,3.9,13.3,6.3,8.8,6.3,19.1,7.7,0,4.1,4.9,5.9,44306,25872,63925,15063,(X),(X),(X),(X),25,(X)
1400000US08031003701,"Census Tract 37.01, Denver County, Colorado",1542,119,7.1,4.4,9.1,5.3,8.6,5.2,6.6,3,10.6,4.1,18.6,6.3,10,4,18,6.4,6.6,3.6,4.8,3.6,60500,12613,75256,9378,21,(X),(X),(X),(X),(X),547,107,4.8,6.7,1.5,2.6,8.4,9.5,5.3,4.9,1.1,1.7,11.5,7.3,16.1,9.4,27.2,11.1,10.6,5.9,13.5,9.4,101042,23633,111560,16875,(X),(X),19.6,(X),(X),(X),434,114,0,7.2,0,7.2,2.1,3.2,4.1,4.7,1.4,2.1,14.5,8.7,15.4,8.3,34.3,13.5,13.4,7.4,14.7,11.8,117100,12966,N,N,(X),(X),(X),(X),(X),(X),995,129,8.3,5.8,13.3,7.7,8.7,5.1,7.3,3.8,15.9,6,22.5,8.9,8.7,4.8,10.8,6.3,4.4,4.4,0,3.2,47724,7741,54620,7845,(X),(X),(X),(X),21.8,(X)
1400000US08031003702,"Census Tract 37.02, Denver County, Colorado",2740,100,11.7,3.9,8.1,4.6,7.7,4.6,19.1,6,14.5,4.8,10,3.9,6.8,3.8,14.9,4.5,4.2,3,3,2.1,39901,5754,62919,6930,15.9,(X),(X),(X),(X),(X),610,120,0,5.2,0,5.2,2,3.5,0,5.2,3,4.4,4.9,5.5,16.1,14.2,41.8,17.3,18.7,13.8,13.6,9.4,133333,16945,147243,24470,(X),(X),12.3,(X),(X),(X),574,119,0,5.5,0,5.5,0,5.5,0,5.5,3.1,4.6,3,4.5,17.1,15,42.5,18.2,19.9,14.8,14.5,9.9,134123,12546,N,N,(X),(X),(X),(X),(X),(X),2130,139,15.1,4.9,10.4,5.8,9.3,5.9,24.6,7.6,18,6.1,11.5,4.9,3.9,2.6,7.2,3.6,0,1.5,0,1.5,30850,3161,38713,4661,(X),(X),(X),(X),16.9,(X)
1400000US08031003703,"Census Tract 37.03, Denver County, Colorado",1546,99,4.7,2.4,6.6,4.4,12.2,5.3,8.4,4.5,13.7,4.8,17.1,4.6,9.3,3.7,11.2,4.5,7.1,2.6,9.8,4.3,57439,6505,88133,13590,23.7,(X),(X),(X),(X),(X),482,87,1.9,2.8,0,6.5,2.1,3.1,5,4.1,6.4,4.9,12.2,7.1,17.8,7.9,18.7,8.8,13.3,5.7,22.6,9.4,110652,18740,152574,29132,(X),(X),17.4,(X),(X),(X),379,75,0,8.2,0,8.2,0,8.2,1.6,2.3,8.2,6.1,10.6,6.9,16.1,8.4,19.5,10.3,15.3,6.8,28.8,12.1,118527,28296,N,N,(X),(X),(X),(X),(X),(X),1064,134,5.9,3.5,9.6,6.1,16.8,7.3,10,6.4,17.1,6.5,19.2,6.5,5.5,3.7,7.8,5.4,4.8,2.9,3.4,4,40878,6559,58285,11289,(X),(X),(X),(X),26,(X)
1400000US08031003800,"Census Tract 38, Denver County, Colorado",3942,165,9,3.4,3.5,2.4,8.8,2.9,2.8,1.5,9.7,3.2,11.4,4.1,6.5,2.8,12.2,4,12.6,4.4,23.6,5,89840,22672,149754,20506,27.7,(X),(X),(X),(X),(X),1368,227,0.9,1.5,1.2,1.9,5.4,3.5,0,2.3,5.1,3.4,5.1,3.8,3,3.1,8.1,6.5,21.2,7.9,50,9.7,198750,38468,251284,40809,(X),(X),22.7,(X),(X),(X),1096,217,0,2.9,0,2.9,5.2,4.1,0,2.9,3.8,3.5,6.4,4.6,2.5,3.5,8.8,7.5,17.7,7.1,55.7,11.2,209948,27083,N,N,(X),(X),(X),(X),(X),(X),2574,234,13.3,5.4,4.7,3.6,10.6,4.2,4.3,2.3,12.7,4.4,14.8,5.7,8.3,4,13.7,5.9,8,4.9,9.6,3.7,55450,6545,95479,18659,(X),(X),(X),(X),30.4,(X)
1400000US08031003901,"Census Tract 39.01, Denver County, Colorado",2277,141,1.9,1.7,0.7,1.2,0.6,0.9,0,1.4,4.7,3.9,13.1,5.8,13,6.3,23.5,6.6,10.1,4.5,32.3,6.7,126083,28179,181975,24526,30.9,(X),(X),(X),(X),(X),1312,174,0,2.4,0,2.4,1,1.6,0,2.4,1.3,2,10.8,8.1,15.3,7,18.9,9.2,11.1,5.3,41.5,10.2,165172,57510,210687,38568,(X),(X),33.1,(X),(X),(X),1170,185,0,2.7,0,2.7,1.1,1.8,0,2.7,0,2.7,11.3,8.8,15,8.3,20.5,10.3,11.2,5.8,40.9,12.1,165603,65145,N,N,(X),(X),(X),(X),(X),(X),965,172,4.6,4.1,1.8,2.9,0,3.3,0,3.3,9.4,8.3,16.2,8.1,9.8,8.8,30.6,11.1,8,7.3,19.7,10.7,102484,8978,142249,30071,(X),(X),(X),(X),27.9,(X)
